행정구역별,특성별,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,총계
행정구역별,특성별,농가수 (가구),경운기-농가 (가구),경운기-대수 (대),트랙터-농가 (가구),트랙터-대수 (대),콤바인-농가 (가구),콤바인-대수 (대),관리기-농가 (가구),관리기-대수 (대),건조기-농가 (가구),건조기-대수 (대),이앙기-농가 (가구),이앙기-대수 (대),과수원용 SS분무기-농가 (가구),과수원용 SS분무기-대수 (대),농업용난방기-농가 (가구),농업용난방기-대수 (대),총계
전국,논 벼,648299,369116,402145,114764,121815,62404,63437,130773,132993,99988,110208,199665,203664,3971,3999,6441,9594,1047855
서울특별시,논 벼,1055,154,160,64,69,29,29,38,39,31,34,84,88,8,8,6,6,433
부산광역시,논 벼,3000,1682,2021,760,866,417,424,932,998,188,194,865,909,12,12,60,71,5495
대구광역시,논 벼,6719,3225,3497,634,670,411,415,1333,1347,279,295,1561,1577,51,51,21,27,7879
인천광역시,논 벼,9236,6712,7093,3153,3362,1591,1622,2507,2536,2229,2553,4591,4689,60,60,72,91,22006
광주광역시,논 벼,8356,2204,2368,665,762,393,405,656,671,330,393,779,813,40,40,103,180,5632
대전광역시,논 벼,3942,1066,1167,262,282,176,181,654,669,185,208,571,599,34,34,27,34,3174
동구,논 벼,303,102,120,14,14,8,8,83,86,12,13,51,54,2,2,0,0,297
중구,논 벼,383,81,90,21,22,12,13,38,38,8,8,33,34,2,2,2,3,210
서구,논 벼,1244,238,255,76,76,42,42,148,150,25,28,125,129,4,4,3,3,687
유성구,논 벼,1344,503,557,128,144,96,97,305,310,118,134,319,333,22,22,19,25,1622
대덕구,논 벼,668,142,145,23,26,18,21,80,85,22,25,43,49,4,4,3,3,358
울산광역시,논 벼,6352,4158,4968,961,983,716,727,894,904,245,256,2391,2448,76,77,15,29,10392
경기도,논 벼,77927,45376,48011,21299,22417,10472,10628,10550,10681,13613,14882,31521,32219,472,478,588,830,140146
수원시,논 벼,1945,529,578,241,257,138,143,151,152,125,134,350,364,7,7,2,2,1637
수원시 장안구,논 벼,386,77,84,19,22,15,17,14,14,12,13,43,44,0,0,0,0,194
수원시 권선구,논 벼,993,293,305,162,174,80,82,95,96,74,80,204,212,4,4,1,1,954
수원시 팔달구,논 벼,210,27,30,13,14,7,8,7,7,11,12,16,17,1,1,0,0,89
수원시 영통구,논 벼,356,132,159,47,47,36,36,35,35,28,29,87,91,2,2,1,1,400
성남시,논 벼,133,49,58,13,13,7,7,13,13,6,7,24,26,0,0,0,0,124
성남시 수정구,논 벼,73,20,25,7,7,3,3,5,5,1,2,11,12,0,0,0,0,54
성남시 중원구,논 벼,17,5,6,0,0,0,0,1,1,0,0,1,1,0,0,0,0,8
성남시 분당구,논 벼,43,24,27,6,6,4,4,7,7,5,5,12,13,0,0,0,0,62
의정부시,논 벼,425,151,169,56,56,32,33,42,43,58,63,97,102,0,0,5,6,472
안양시,논 벼,126,25,28,9,10,6,6,3,3,3,3,9,9,0,0,1,3,62
안양시 만안구,논 벼,28,12,15,6,7,3,3,1,1,3,3,7,7,0,0,0,0,36
안양시 동안구,논 벼,98,13,13,3,3,3,3,2,2,0,0,2,2,0,0,1,3,26
부천시,논 벼,392,71,81,43,52,19,20,25,25,22,39,49,53,2,2,6,7,279
부천시 원미구,논 벼,113,17,18,7,8,3,3,1,1,4,5,13,14,0,0,0,0,49
부천시 소사구,논 벼,46,12,13,7,8,3,4,5,5,1,1,7,8,1,1,2,3,43
부천시 오정구,논 벼,233,42,50,29,36,13,13,19,19,17,33,29,31,1,1,4,4,187
광명시,논 벼,216,84,96,25,25,10,11,14,14,10,10,48,54,0,0,0,0,210
평택시,논 벼,9657,5323,5579,3088,3308,1388,1409,1005,1017,1339,1510,3748,3851,57,57,41,84,16815
동두천시,논 벼,199,117,127,41,44,18,19,14,14,22,26,51,51,0,0,1,1,282
안산시,논 벼,506,270,298,143,151,101,101,78,80,92,99,195,199,9,10,1,1,939
안산시 상록구,논 벼,350,191,205,108,112,69,69,37,37,69,70,142,145,1,1,0,0,639
안산시 단원구,논 벼,156,79,93,35,39,32,32,41,43,23,29,53,54,8,9,1,1,300
고양시,논 벼,2131,978,1038,498,547,233,237,202,204,248,306,549,572,2,2,19,34,2940
고양시 덕양구,논 벼,789,286,308,124,146,76,79,75,76,67,83,179,194,2,2,8,11,899
고양시 일산동구,논 벼,577,300,318,127,136,44,45,43,43,54,71,170,174,0,0,8,12,799
고양시 일산서구,논 벼,765,392,412,247,265,113,113,84,85,127,152,200,204,0,0,3,11,1242
과천시,논 벼,61,29,33,13,14,5,5,6,6,2,2,9,9,0,0,1,3,72
구리시,논 벼,32,8,8,1,1,0,0,5,5,1,1,4,5,0,0,0,0,20
남양주시,논 벼,969,453,477,112,113,58,59,54,56,87,89,215,220,2,2,3,3,1019
오산시,논 벼,831,358,386,199,216,130,133,78,80,131,137,280,291,6,6,1,4,1253
시흥시,논 벼,863,480,527,170,174,84,84,63,64,143,156,302,309,1,1,2,2,1317
군포시,논 벼,189,79,91,35,36,11,11,18,18,13,13,50,51,1,1,1,2,223
의왕시,논 벼,222,115,160,23,25,18,21,29,29,40,46,69,74,2,2,1,1,358
하남시,논 벼,179,99,110,17,17,9,9,19,19,6,6,46,46,0,0,2,3,210
용인시,논 벼,4548,2532,2664,1135,1169,604,613,789,802,881,926,1871,1899,5,5,42,57,8135
용인시 처인구,논 벼,3975,2286,2387,1076,1108,550,557,701,710,821,866,1737,1760,2,2,40,54,7444
용인시 기흥구,논 벼,423,183,202,44,45,38,38,60,62,40,40,105,108,3,3,1,1,499
용인시 수지구,논 벼,150,63,75,15,16,16,18,28,30,20,20,29,31,0,0,1,2,192
파주시,논 벼,5812,3114,3294,1573,1715,771,788,663,677,996,1145,2077,2144,12,12,46,74,9849
이천시,논 벼,6466,4016,4173,2102,2178,1010,1020,923,930,1399,1513,3031,3074,85,86,46,74,13048
안성시,논 벼,6751,3834,3980,1798,1882,846,855,1115,1132,1364,1443,2647,2683,116,117,41,57,12149
김포시,논 벼,4392,2821,2982,1298,1404,687,705,1173,1183,806,966,1810,1872,63,63,41,59,9234
화성시,논 벼,8746,5844,6314,2916,3068,1668,1691,1804,1827,1910,2077,4685,4802,49,50,90,108,19937
광주시,논 벼,1653,1116,1176,388,402,181,183,157,160,402,417,684,693,4,4,7,10,3045
양주시,논 벼,2095,1045,1116,466,487,218,223,169,170,420,452,655,660,0,0,9,11,3119
포천시,논 벼,3791,2310,2430,967,997,294,296,389,394,480,510,1558,1586,12,12,37,43,6268
여주군,논 벼,6197,4136,4255,2227,2278,1022,1025,744,753,1340,1417,3142,3179,20,22,59,81,13010
연천군,논 벼,2166,1259,1324,584,629,306,313,264,267,391,431,848,869,5,5,48,60,3898
가평군,논 벼,1603,1038,1134,182,185,116,117,150,150,162,173,540,552,8,8,10,13,2332
양평군,논 벼,4631,3093,3325,936,964,482,491,391,394,714,765,1878,1920,4,4,25,27,7890
강원도,논 벼,29027,19189,21410,7371,7610,3329,3357,4489,4605,3689,4282,12979,13216,72,73,245,333,54886
춘천시,논 벼,1988,1159,1251,348,357,152,154,359,362,139,149,703,713,6,7,21,36,3029
원주시,논 벼,4150,2510,2698,735,755,379,381,928,953,692,787,1713,1745,16,16,34,46,7381
강릉시,논 벼,3569,2115,2580,632,659,329,334,522,553,149,161,1395,1425,8,8,14,17,5737
동해시,논 벼,316,211,286,31,32,41,46,60,65,32,40,118,123,1,1,1,1,594
태백시,논 벼,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
속초시,논 벼,435,260,288,73,74,55,55,44,44,42,44,178,182,1,1,1,1,689
삼척시,논 벼,964,579,696,120,131,110,114,134,138,113,128,287,304,0,0,4,4,1515
홍천군,논 벼,3298,2446,2716,924,941,433,435,529,542,377,404,1665,1685,20,20,11,16,6759
횡성군,논 벼,2487,1781,2002,555,566,221,222,414,422,294,334,1121,1138,1,1,21,29,4714
영월군,논 벼,550,337,371,94,95,50,53,120,126,254,289,185,187,1,1,2,3,1125
평창군,논 벼,562,366,393,130,131,80,81,171,178,133,140,247,247,0,0,8,12,1182
정선군,논 벼,283,172,188,50,53,25,25,38,39,39,39,105,107,0,0,2,2,453
철원군,논 벼,3925,2506,2648,1636,1732,288,288,462,466,555,821,1825,1845,5,5,67,80,7885
화천군,논 벼,718,561,632,161,165,85,86,123,126,63,67,353,358,1,1,13,21,1456
양구군,논 벼,1308,855,928,511,527,181,182,139,139,103,116,661,673,2,2,18,28,2595
인제군,논 벼,818,515,571,169,173,90,90,73,74,71,82,369,378,1,1,3,4,1373
고성군,논 벼,1825,1400,1530,799,814,481,481,168,170,492,528,1055,1088,4,4,6,6,4621
양양군,논 벼,1826,1414,1630,403,405,329,330,205,208,141,153,999,1018,5,5,19,27,3776
충청북도,논 벼,40130,21179,22296,5501,5709,3085,3114,8837,9023,11398,12466,11281,11488,255,255,213,370,64721
청주시,논 벼,4336,1141,1188,396,409,231,233,371,376,319,357,650,663,19,19,18,28,3273
청주시 상당구,논 벼,1630,409,426,133,140,84,85,123,125,99,112,217,221,7,7,6,7,1123
청주시 흥덕구,논 벼,2706,732,762,263,269,147,148,248,251,220,245,433,442,12,12,12,21,2150
충주시,논 벼,4965,2765,2900,759,783,390,393,1040,1061,1564,1752,1378,1407,47,47,22,46,8389
제천시,논 벼,2068,948,1036,266,290,161,166,566,589,609,698,595,612,20,20,12,16,3427
청원군,논 벼,8269,4256,4479,1204,1278,745,752,1734,1771,2002,2247,2618,2688,30,30,53,66,13311
보은군,논 벼,3610,2274,2401,634,651,331,333,924,936,1350,1434,1059,1072,47,47,15,32,6906
옥천군,논 벼,2959,1576,1683,314,330,169,174,935,949,647,707,620,641,13,13,23,47,4544
영동군,논 벼,1952,1134,1200,190,197,94,96,655,661,354,371,355,359,23,23,12,31,2938
진천군,논 벼,3885,2300,2407,599,611,341,341,593,598,1234,1329,1333,1349,16,16,20,40,6691
괴산군,논 벼,2493,1396,1481,299,305,171,172,659,689,1132,1236,656,662,7,7,19,28,4580
음성군,논 벼,3936,2598,2693,628,639,339,340,978,999,1664,1766,1576,1588,30,30,10,24,8079
단양군,논 벼,389,181,198,25,25,12,12,99,104,145,155,62,63,0,0,0,0,557
증평군,논 벼,1268,610,630,187,191,101,102,283,290,378,414,379,384,3,3,9,12,2026
충청남도,논 벼,103610,58261,62213,17286,18302,9917,10042,22596,22863,16043,18005,34791,35554,533,538,1282,2012,169529
천안시,논 벼,7043,3226,3371,961,1007,517,520,1091,1102,1203,1284,1805,1844,105,108,21,26,9262
공주시,논 벼,8173,3715,3820,784,802,506,514,1637,1655,1449,1546,2437,2467,17,17,76,110,10931
보령시,논 벼,7301,4727,5385,1133,1183,607,615,742,748,819,939,2671,2755,15,15,74,135,11775
아산시,논 벼,7811,4544,4783,1576,1660,810,814,1368,1382,703,879,2619,2665,90,90,47,63,12336
서산시,논 벼,9118,5980,6422,1864,1987,1134,1145,1626,1641,1336,1567,3633,3713,22,22,93,136,16633
논산시,논 벼,7674,3196,3328,993,1055,593,603,2073,2101,593,714,2028,2067,28,28,71,141,10037
계룡시,논 벼,286,123,136,36,36,16,16,63,63,14,15,80,82,2,2,1,1,351
금산군,논 벼,3921,1636,1699,260,272,159,162,1177,1206,325,342,571,587,5,5,16,19,4292
연기군,논 벼,3863,1538,1589,443,485,297,304,759,771,662,713,934,962,52,52,22,33,4909
부여군,논 벼,7420,3526,3718,1044,1095,567,577,2480,2504,972,1080,2423,2489,12,12,209,342,11817
서천군,논 벼,6434,3478,4033,1133,1266,652,662,1265,1284,942,1123,2283,2385,7,7,43,78,10838
청양군,논 벼,4515,2787,2911,701,725,429,434,1315,1329,2230,2362,1777,1800,8,8,71,148,9717
홍성군,논 벼,6649,4363,4676,1106,1152,741,752,1755,1777,1190,1271,2267,2300,14,14,81,111,12053
예산군,논 벼,7437,4932,5163,1697,1775,896,910,2420,2446,1037,1160,2382,2407,112,113,166,192,14166
태안군,논 벼,5343,3727,4045,879,913,549,557,877,882,910,997,2225,2253,1,1,61,97,9745
당진군,논 벼,10622,6763,7134,2676,2889,1444,1457,1948,1972,1658,2013,4656,4778,43,44,230,380,20667
전라북도,논 벼,80096,41474,44754,14254,16059,7684,7885,16312,16668,13069,14837,21526,22052,326,328,1487,2126,124709
