ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,ÃÑ°è
ÇàÁ¤±¸¿ªº°,Æ¯¼ºº°,³íº­Àç¹è³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼Âø±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÃÑ°è
Á¾·Î±¸,³íº­,13,1,1,1,2,1,2,2,3,1,2,1,1,11
Áß±¸,³íº­,8,1,1,1,1,-,-,-,-,-,-,-,-,2
¿ë»ê±¸,³íº­,16,1,2,2,2,1,1,1,1,1,1,-,-,7
¼ºµ¿±¸,³íº­,73,11,12,10,10,-,-,7,7,5,5,-,-,34
±¤Áø±¸,³íº­,114,9,9,8,8,6,6,5,5,5,5,-,-,33
µ¿´ë¹®±¸,³íº­,66,8,8,6,6,2,2,4,4,3,3,-,-,23
Áß¶û±¸,³íº­,119,16,18,5,5,1,1,3,3,2,2,-,-,29
¼ººÏ±¸,³íº­,61,4,4,5,5,4,4,1,1,2,2,-,-,16
°­ºÏ±¸,³íº­,39,5,5,3,3,-,-,5,6,3,3,-,-,17
µµºÀ±¸,³íº­,63,14,14,7,7,4,4,3,3,2,2,-,-,30
³ë¿ø±¸,³íº­,98,13,13,7,7,1,1,6,6,1,1,-,-,28
ÀºÆò±¸,³íº­,67,5,6,4,4,4,4,3,3,3,3,-,-,20
¼­´ë¹®±¸,³íº­,38,4,4,5,5,2,2,4,4,4,4,-,-,19
¸¶Æ÷±¸,³íº­,27,1,1,2,2,-,-,1,1,2,2,-,-,6
¾çÃµ±¸,³íº­,137,13,14,7,7,3,3,9,9,3,3,-,-,36
°­¼­±¸,³íº­,329,30,33,26,32,12,12,27,33,16,16,-,-,126
±¸·Î±¸,³íº­,129,12,13,7,10,3,4,7,8,6,7,2,2,44
±ÝÃµ±¸,³íº­,32,3,3,1,1,-,-,1,1,-,-,-,-,5
¿µµîÆ÷±¸,³íº­,62,7,8,5,7,-,-,4,5,3,4,1,1,25
µ¿ÀÛ±¸,³íº­,64,7,7,2,2,-,-,4,5,-,-,-,-,14
°ü¾Ç±¸,³íº­,61,7,7,4,4,1,1,5,5,4,4,-,-,21
