"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"Á¾·Î±¸","³íº­",10,3,3,1,1,1,1,2,2,1,1,1,1,-,-,-,-
"Áß±¸","³íº­",3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-
"¿ë»ê±¸","³íº­",11,2,2,2,2,-,-,2,3,2,3,-,-,-,-,1,33
"¼ºµ¿±¸","³íº­",17,4,4,1,1,-,-,-,-,-,-,1,1,-,-,-,-
"±¤Áø±¸","³íº­",34,8,9,6,6,2,2,3,3,4,4,5,5,-,-,-,-
"µ¿´ë¹®±¸","³íº­",12,4,4,1,1,-,-,3,3,1,1,3,3,-,-,-,-
"Áß¶û±¸","³íº­",46,14,15,2,2,1,1,4,4,5,5,4,4,-,-,-,-
"¼ººÏ±¸","³íº­",30,6,6,2,2,2,2,1,1,-,-,1,1,-,-,-,-
"°­ºÏ±¸","³íº­",12,2,2,2,2,-,-,1,1,-,-,2,2,-,-,-,-
"µµºÀ±¸","³íº­",28,10,11,3,3,2,2,1,1,3,3,4,4,-,-,-,-
"³ë¿ø±¸","³íº­",19,6,6,3,3,1,1,-,-,-,-,-,-,-,-,-,-
"ÀºÆò±¸","³íº­",43,6,6,-,-,-,-,-,-,-,-,3,3,-,-,-,-
"¼­´ë¹®±¸","³íº­",21,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"¸¶Æ÷±¸","³íº­",25,8,8,3,3,1,1,3,3,3,4,2,2,-,-,1,33
"¾çÃµ±¸","³íº­",89,5,5,6,6,4,4,2,2,2,2,2,2,-,-,-,-
"°­¼­±¸","³íº­",247,43,50,22,27,10,10,25,25,12,15,20,20,1,1,-,-
"±¸·Î±¸","³íº­",49,6,6,2,2,1,1,3,3,2,2,2,2,-,-,-,-
"±ÝÃµ±¸","³íº­",18,3,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"¿µµîÆ÷±¸","³íº­",41,7,7,4,4,1,1,2,2,1,1,3,3,-,-,-,-
"µ¿ÀÛ±¸","³íº­",44,9,10,4,4,2,2,2,2,1,1,1,1,-,-,-,-
"°ü¾Ç±¸","³íº­",43,8,8,3,3,1,1,6,6,1,1,3,3,1,1,1,99
"¼­ÃÊ±¸","³íº­",68,10,10,5,5,2,2,4,4,2,2,4,4,1,1,-,-
"°­³²±¸","³íº­",70,16,17,8,8,4,4,1,1,2,2,7,7,-,-,-,-
"¼ÛÆÄ±¸","³íº­",100,23,23,9,9,3,3,3,4,3,3,1,1,-,-,4,100
"°­µ¿±¸","³íº­",55,11,11,8,8,3,3,4,4,2,2,8,8,-,-,-,-
"µ¿ºÎ","³íº­",2043,855,938,476,550,222,227,574,606,163,169,364,372,4,4,2,23
"À¾ºÎ","³íº­",310,192,231,79,80,51,51,87,89,44,48,99,101,5,5,8,204
"¸éºÎ","³íº­",406,278,326,119,123,83,83,113,113,44,45,166,168,-,-,5,195
"Áß±¸","³íº­",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"¼­±¸","³íº­",14,2,2,1,2,-,-,2,2,-,-,-,-,-,-,-,-
"µ¿±¸","³íº­",5,2,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-
"¿µµµ±¸","³íº­",13,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"ºÎ»êÁø±¸","³íº­",35,9,9,4,4,3,3,2,2,-,-,4,4,-,-,-,-
"µ¿·¡±¸","³íº­",97,24,26,9,9,4,4,9,9,4,4,10,10,-,-,-,-
"³²±¸","³íº­",30,8,8,2,2,3,3,6,6,1,1,3,3,-,-,-,-
"ºÏ±¸","³íº­",113,18,18,8,8,1,1,10,10,2,2,8,8,-,-,-,-
"ÇØ¿î´ë±¸","³íº­",82,14,15,1,1,1,1,6,7,-,-,5,5,1,1,-,-
"»çÇÏ±¸","³íº­",121,23,23,11,11,3,3,6,6,3,3,4,4,1,1,-,-
"±ÝÁ¤±¸","³íº­",80,12,13,2,2,2,2,3,3,-,-,3,3,-,-,1,10
"°­¼­±¸","³íº­",1304,704,783,425,498,200,205,518,549,150,156,316,324,2,2,1,13
"¿¬Á¦±¸","³íº­",45,8,8,2,2,-,-,5,5,1,1,2,2,-,-,-,-
"¼ö¿µ±¸","³íº­",33,4,4,1,1,1,1,1,1,1,1,2,2,-,-,-,-
"»ç»ó±¸","³íº­",68,25,25,10,10,4,4,6,6,1,1,6,6,-,-,-,-
"±âÀå±º","³íº­",716,470,557,198,203,134,134,200,202,88,93,265,269,5,5,13,399
"µ¿ºÎ","³íº­",2622,770,799,135,139,65,65,390,396,64,64,204,205,21,22,10,652
"À¾ºÎ","³íº­",1099,451,467,127,127,73,73,181,182,25,25,222,222,2,2,2,82
"¸éºÎ","³íº­",2058,1304,1430,382,403,201,203,666,676,227,240,717,721,4,4,19,1333
"Áß±¸","³íº­",29,4,4,-,-,-,-,3,4,2,2,2,2,-,-,-,-
"µ¿±¸","³íº­",658,268,274,35,36,14,14,134,136,21,21,57,58,8,9,2,19
"¼­±¸","³íº­",185,45,50,13,14,4,4,26,27,4,4,11,11,4,4,1,99
"³²±¸","³íº­",129,22,22,4,4,1,1,6,6,3,3,7,7,-,-,-,-
"ºÏ±¸","³íº­",471,171,184,29,31,13,13,71,72,10,10,49,49,3,3,-,-
"¼ö¼º±¸","³íº­",429,102,102,19,19,15,15,65,65,13,13,25,25,4,4,1,132
"´Þ¼­±¸","³íº­",721,158,163,35,35,18,18,85,86,11,11,53,53,2,2,6,402
"´Þ¼º±º","³íº­",3157,1755,1897,509,530,274,276,847,858,252,265,939,943,6,6,21,1415
"µ¿ºÎ","³íº­",1740,655,695,374,402,189,192,271,274,269,293,446,458,14,18,20,507
"À¾ºÎ","³íº­",668,321,330,133,149,42,43,241,243,104,117,147,148,-,-,29,455
"¸éºÎ","³íº­",5251,3922,4090,2168,2312,1033,1044,1879,1902,2270,2557,2201,2226,24,24,358,5237
"Áß±¸","³íº­",296,160,174,120,129,67,69,109,111,102,106,129,133,7,8,8,192
"µ¿±¸","³íº­",9,3,3,-,-,-,-,1,1,-,-,2,2,-,-,-,-
"³²±¸","³íº­",111,30,31,9,9,5,5,2,2,5,5,13,13,-,-,-,-
"¿¬¼ö±¸","³íº­",90,19,20,6,6,1,1,5,5,4,4,9,9,-,-,-,-
"³²µ¿±¸","³íº­",161,48,49,33,35,19,19,27,27,21,23,32,33,1,1,3,80
"ºÎÆò±¸","³íº­",218,25,26,13,16,9,9,15,15,7,10,13,15,-,-,1,10
"°è¾ç±¸","³íº­",385,152,168,95,102,42,42,56,56,64,69,119,120,2,3,2,62
"¼­±¸","³íº­",470,218,224,98,105,46,47,56,57,66,76,129,133,4,6,6,163
"°­È­±º","³íº­",5360,3805,3921,2013,2162,890,901,1888,1910,1956,2185,2065,2086,9,9,321,4792
"¿ËÁø±º","³íº­",559,438,499,288,299,185,186,232,235,418,489,283,288,15,15,66,900
"µ¿±¸","³íº­",321,41,42,13,13,8,8,21,22,9,9,13,13,3,3,-,-
"¼­±¸","³íº­",874,212,221,75,95,39,39,58,64,56,68,69,71,4,4,13,366
"³²±¸","³íº­",865,235,250,95,111,56,56,97,97,55,62,98,101,7,7,6,186
