"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼»è±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"Á¾·Î±¸","³íº­",15,3,4,3,5,2,3,3,3,1,2,2,3,1,5,1,8,1,27
"Áß±¸","³íº­",9,1,1,1,1,1,1,,,1,1,,,,,,,1,13
"¿ë»ê±¸","³íº­",11,,,,,,,,,,,,,,,,,,
"¼ºµ¿±¸","³íº­",12,1,1,,,1,1,,,,,,,,,,,,
"±¤Áø±¸","³íº­",32,8,8,2,2,,,5,5,2,2,2,2,,,1,1,2,185
"µ¿´ë¹®±¸","³íº­",13,2,2,,,,,,,,,1,1,,,,,,
"Áß¶û±¸","³íº­",49,10,11,,,,,3,3,2,2,,,,,,,,
"¼ººÏ±¸","³íº­",19,1,1,,,,,,,,,,,,,,,,
"°­ºÏ±¸","³íº­",15,2,2,,,,,,,,,1,1,,,,,,
"µµºÀ±¸","³íº­",16,8,9,2,2,1,1,3,3,6,6,3,3,1,1,,,1,17
"³ë¿ø±¸","³íº­",10,6,6,4,4,1,1,1,1,2,2,1,1,,,,,,
"ÀºÆò±¸","³íº­",39,5,5,3,3,,,2,2,,,2,2,,,,,,
"¼­´ë¹®±¸","³íº­",13,2,2,1,1,1,1,2,2,1,1,1,1,,,,,,
"¸¶Æ÷±¸","³íº­",14,4,4,1,1,,,2,2,3,3,1,1,,,,,,
"¾çÃµ±¸","³íº­",68,9,10,4,4,3,3,5,5,2,2,3,3,,,,,,
"°­¼­±¸","³íº­",249,28,31,22,26,10,10,17,18,14,18,17,18,2,2,2,2,1,33
"±¸·Î±¸","³íº­",40,4,4,1,1,,,4,4,1,1,,,,,,,,
"±ÝÃµ±¸","³íº­",14,2,2,3,3,1,1,1,1,,,1,1,,,,,,
"¿µµîÆ÷±¸","³íº­",37,5,6,2,3,,,2,2,2,2,3,3,,,1,1,,
"µ¿ÀÛ±¸","³íº­",26,4,4,1,1,,,4,4,1,1,1,1,,,,,,
"°ü¾Ç±¸","³íº­",36,7,7,,,,,2,3,3,3,4,4,,,,,,
"¼­ÃÊ±¸","³íº­",43,6,6,1,1,,,2,2,2,2,2,2,,,,,1,10
"°­³²±¸","³íº­",33,5,5,2,2,1,1,4,4,,,3,3,,,,,,
"¼ÛÆÄ±¸","³íº­",63,6,7,2,2,1,1,5,7,2,2,1,1,,,,,,
"°­µ¿±¸","³íº­",29,8,8,4,4,1,1,4,4,2,2,4,4,,,,,,
"µ¿ºÎ","³íº­",1753,619,668,383,472,159,162,496,531,205,219,254,259,6,7,10,10,21,367
"À¾ºÎ","³íº­",355,237,268,105,107,74,74,116,119,70,77,119,119,2,2,5,5,18,313
"¸éºÎ","³íº­",239,157,188,89,89,55,56,73,77,50,51,100,102,4,4,5,5,5,79
"Áß±¸","³íº­",9,,,,,,,1,1,,,,,,,,,,
"¼­±¸","³íº­",13,,,,,,,,,,,,,,,,,,
"µ¿±¸","³íº­",18,2,2,1,1,1,1,1,2,1,1,,,,,,,,
"¿µµµ±¸","³íº­",14,1,1,,,,,,,,,,,,,,,,
"ºÎ»êÁø±¸","³íº­",32,6,6,5,5,2,2,7,7,4,4,2,2,1,1,,,,
"µ¿·¡±¸","³íº­",77,11,11,4,4,1,1,9,9,2,2,7,7,,,1,1,,
"³²±¸","³íº­",27,3,3,,,1,1,1,1,,,1,1,,,,,,
"ºÏ±¸","³íº­",72,12,12,5,5,3,3,6,6,3,3,1,1,,,,,1,20
"ÇØ¿î´ë±¸","³íº­",51,12,13,2,2,2,2,6,6,2,2,4,4,1,1,,,,
"»çÇÏ±¸","³íº­",139,17,18,3,3,1,1,11,11,3,3,6,6,,,,,,
"±ÝÁ¤±¸","³íº­",69,11,11,3,3,,,4,4,3,3,,,,,1,1,,
"°­¼­±¸","³íº­",1118,525,572,357,445,147,150,436,469,182,195,228,233,1,1,7,7,19,327
"¿¬Á¦±¸","³íº­",31,5,5,2,3,1,1,6,7,1,2,2,2,1,1,,,1,20
"¼ö¿µ±¸","³íº­",35,3,3,,,,,,,,,,,,,,,,
"»ç»ó±¸","³íº­",48,11,11,1,1,,,8,8,4,4,3,3,2,3,1,1,,
"±âÀå±º","³íº­",594,394,456,194,196,129,130,189,196,120,128,219,221,6,6,10,10,23,392
"µ¿ºÎ","³íº­",2190,586,610,137,142,57,57,341,346,109,111,167,167,19,20,12,12,11,140
"À¾ºÎ","³íº­",1091,424,454,133,138,63,63,231,235,78,79,195,195,7,8,7,8,4,360
"¸éºÎ","³íº­",1737,1012,1101,433,459,199,200,619,637,343,356,545,551,14,14,15,16,17,332
"Áß±¸","³íº­",28,5,5,,,,,2,2,1,1,2,2,,,,,,
"µ¿±¸","³íº­",542,206,219,45,46,17,17,122,123,35,35,55,55,9,9,7,7,4,58
"¼­±¸","³íº­",153,43,46,11,11,3,3,19,20,5,5,8,8,,,,,,
"³²±¸","³íº­",92,21,21,8,10,3,3,11,11,3,3,5,5,1,1,1,1,,
"ºÏ±¸","³íº­",402,138,142,38,39,15,15,89,89,32,32,52,52,1,1,2,2,1,10
"¼ö¼º±¸","³íº­",391,66,69,10,11,7,7,40,42,13,15,17,17,3,3,,,4,52
"´Þ¼­±¸","³íº­",582,107,108,25,25,12,12,58,59,20,20,28,28,5,6,2,2,2,20
"´Þ¼º±º","³íº­",2828,1436,1555,566,597,262,263,850,872,421,435,740,746,21,22,22,24,21,692
"µ¿ºÎ","³íº­",1436,495,513,286,305,138,144,262,266,273,311,296,304,13,15,19,19,23,372
"À¾ºÎ","³íº­",560,266,275,121,139,41,42,250,264,151,178,114,115,,,3,3,72,964
"¸éºÎ","³íº­",4693,3416,3577,2014,2240,903,914,2487,2542,2569,2810,1879,1902,29,30,81,120,1433,16300
"Áß±¸","³íº­",224,118,118,84,85,45,45,93,93,97,100,85,86,4,4,4,4,5,116
"µ¿±¸","³íº­",8,,,,,,,,,,,,,,,,,,
"³²±¸","³íº­",73,6,6,3,3,,,3,3,4,4,4,4,,,,,,
"¿¬¼ö±¸","³íº­",88,18,18,8,8,1,1,10,11,6,6,9,9,1,1,1,1,1,13
